id,product_id,delivery_time,track_number,driver_id
49,154,10,,350
78,732,10,,435
124,812,10,,202
142,68,10,,123
152,55,10,,388
178,99,10,,290
181,213,10,,787
199,985,10,,172
290,13,10,,47
300,208,10,,966
302,928,10,,311
327,635,10,,564
371,21,10,,150
434,135,10,,194
472,791,10,,175
493,88,10,,973
530,168,10,,487
535,854,10,,631
572,423,10,,162
641,821,10,,309
682,763,10,,232
685,510,10,,71
700,709,10,,387
733,30,10,,452
801,460,10,,317
937,867,10,,803
975,472,10,,787
976,535,10,,352
981,105,10,,599
9,597,9,,522
22,446,9,,142
92,607,9,,300
97,839,9,,266
160,393,9,,841
164,349,9,,497
191,289,9,,247
277,206,9,,835
355,230,9,,497
408,733,9,,625
483,484,9,,948
501,200,9,,116
631,228,9,,701
648,269,9,,91
986,538,9,,211
25,352,8,,629
60,306,8,,756
127,894,8,,425
206,619,8,,431
264,214,8,,50
376,663,8,,198
398,932,8,,151
415,893,8,,849
435,513,8,,235
465,324,8,,453
475,657,8,,346
499,210,8,,671
508,935,8,,140
520,286,8,,323
615,299,8,,647
702,833,8,,999
712,324,8,,726
731,100,8,,487
734,592,8,,200
811,921,8,,259
850,920,8,,721
915,839,8,,41
196,27,7,,526
231,803,7,,256
293,486,7,,247
298,365,7,,903
319,41,7,,320
446,121,7,,949
448,345,7,,740
449,631,7,,933
451,323,7,,266
504,737,7,,535
509,782,7,,504
517,209,7,,82
547,566,7,,836
553,813,7,,277
557,816,7,,143
580,19,7,,653
651,319,7,,728
657,170,7,,675
670,638,7,,519
737,630,7,,602
739,928,7,,873
806,750,7,,771
818,288,7,,225
832,743,7,,524
841,702,7,,98
871,231,7,,232
884,618,7,,441
960,337,7,,146
7,991,6,,105
55,907,6,,431
155,98,6,,105
238,375,6,,155
332,786,6,,473
364,807,6,,151
385,841,6,,5
444,540,6,,924
445,333,6,,811
460,225,6,,807
476,199,6,,358
500,820,6,,820
654,321,6,,264
754,618,6,,172
802,518,6,,329
853,664,6,,383
886,301,6,,809
916,323,6,,33
27,794,5,,792
130,724,5,,101
172,368,5,,841
187,606,5,,436
198,173,5,,615
211,600,5,,203
268,200,5,,590
308,183,5,,235
338,554,5,,777
413,849,5,,321
505,850,5,,686
537,560,5,,557
544,324,5,,395
593,714,5,,74
630,113,5,,772
667,748,5,,640
675,68,5,,325
720,572,5,,339
798,51,5,,800
827,116,5,,252
836,942,5,,222
877,3,5,,619
895,610,5,,80
906,162,5,,550
82,484,4,,189
189,447,4,,439
283,2,4,,643
431,971,4,,789
489,372,4,,828
494,543,4,,304
618,349,4,,805
672,880,4,,792
777,643,4,,603
804,244,4,,191
898,313,4,,258
933,604,4,,541
964,678,4,,274
972,726,4,,932
995,388,4,,724
34,898,3,,393
128,310,3,,121
207,534,3,,998
233,572,3,,156
255,831,3,,436
295,377,3,,449
347,442,3,,490
439,945,3,,545
478,145,3,,341
540,441,3,,902
577,48,3,,656
661,984,3,,71
673,75,3,,597
752,99,3,,531
816,492,3,,142
851,365,3,,377
866,185,3,,21
869,670,3,,675
878,188,3,,149
973,6,3,,326
11,561,2,,117
44,742,2,,468
98,101,2,,90
185,624,2,,928
217,363,2,,980
229,732,2,,503
241,289,2,,155
261,959,2,,539
294,753,2,,694
322,847,2,,911
331,495,2,,254
349,979,2,,877
367,253,2,,177
392,525,2,,594
402,582,2,,209
425,997,2,,948
566,536,2,,27
606,574,2,,443
634,242,2,,937
643,773,2,,145
821,657,2,,61
891,896,2,,967
948,836,2,,254
38,42,1,,643
90,493,1,,8
186,111,1,,75
215,963,1,,282
247,909,1,,269
297,134,1,,227
330,478,1,,889
335,937,1,,304
340,837,1,,647
366,305,1,,454
386,316,1,,193
428,643,1,,157
433,11,1,,837
498,561,1,,663
610,889,1,,358
614,663,1,,146
679,745,1,,210
705,710,1,,597
735,828,1,,419
812,605,1,,370
830,139,1,,550
856,962,1,,496
896,373,1,,797
952,921,1,,693
